SMILES,gap
CC1=CCC(C)CC1(C)C,7.07
CC(C)N1COCN1C(C)C,7.753
NCCc1c(-c2cccnc2)[nH]c2ccccc12,4.28
N[N][C](O)CCC1CCC(O)=N1,5.197
CCCCc1nc(CC)c(C)o1,6.291
O=CCOCC1CC1,5.8314
CCC(C)(CC(=O)O)C(=O)O,6.202
CCCCC(CC)C(C)(C)O,8.768
O=[N+]([O-])c1ccc(CO)s1,4.525
CC(C)COC(C)C(C)C,8.833
CC(=O)N(CC(=O)N(C)C)c1ccc(C)cc1,5.997
CCC(C)C(C)C(C)C(C)(CC)CC,9.543
c1ccc2nc3c(nc2c1)[N]O[N]3,3.184
OCCN(C1C=CCC1)C1CCCCC1,6.343
CN1CCC2CC(C1)c1ccc(O)cc12,5.638
CCCC=CC(=O)OC,6.223
O=Cc1ccc2c(c1)COCO2,4.933
C=C1C=CN(C2CC(C)(C)C=CC2=O)C1,3.162
CC(C)C1CC2CCCCC2C1,9.848
CCOC(=O)C1CN1C(CC)C(=O)OC,6.719
Cc1ccc(C(=O)c2cc3ccccc3o2)cc1,4.221
Cc1cc(C)c2cccccc1-2,3.124
O=C1C=C2CCCC2CC1,5.072
CC(C(O)c1ccccc1)N(C)N=O,5.244
C1CCC(SSC2CCCCC2)CC1,5.774
NCC12CCCC1C1CCC2C1,8.153
O=c1cnc2c(ccc3ccccc32)[nH]1,3.875
Nc1ccccc1-c1nc2ccccc2[nH]1,4.177
COC(=O)C1C2CC3OC(=O)C1(C)C3C2,7.154
CC(C)C(N)[C]([NH])O,7.557
COCC1CN1CC(C)(C)C,8.441
[N][N][C](c1ccccc1)c1cccs1,3.548
CC(C)C1(C(C)C)C(=O)N=C1O,5.796
CCOc1cc(OCC)c(OCC)cc1C=O,4.27
CC(N)CNCCCN,8.082
OC1CN1,8.727
CCC(O)C(C)(N)C[C]([NH])O,7.606
Cn1ccc(CO)c1CO,6.212
COC(=O)c1cc(=O)c2ccccc2o1,4.487
CCC(CC)N(CCN)C(=O)c1cccnc1,5.175605
CCCNCc1nc(C)c(C)n1CC,6.231407
CC1(C)CC(C)(C)N1,7.785
CCCC(CC)N(C)C,7.66
C=CC=C(C)C(C)(C)C,5.342
COc1ccc2[nH]c3c(c2c1)C=CNC3C,4.223
CCCCCCCCC(CCCCC)C(C)C,9.845
CCOC(CC1(C)OC1CO)OCC,9.032
COC(=O)c1cc(C)n(C)c(=O)c1CN,4.041
CCC1(CC)COC(=O)C1,7.513
C=C(C)C(CO)CCC(C)CC,7.11
CC1(O)C2CC2CC2CC21,8.953
COc1c(C=O)c(O)cc2oc(C)cc(=O)c12,4.591
O=C(O)C1=C2C=CC=C2SC1,2.977
O=[N+]([O-])Cc1nnc(O)c2ccccc12,4.561
CC(C)NP(C)(=O)O,8.202
[CH]CCc1ccccc1CC,3.878
O=C1CC2C(=O)OCC2O1,7.23
OCc1cccc2ccc3ccccc3c12,4.631
CC(=CC(=O)c1ccc2ccccc2c1)N(C)C,4.199
CCOC(=O)C1C(=O)N=C(O)CC1C,5.505
CCCCOc1ccc([N+](=O)[O-])cc1N,3.799
CC12CCC(C=C1N1CCOCC1)C(C)(C)O2,5.913
CC1CC(C)(C)OC(C)O1,8.593
CCOC(=O)c1ccc(N[N][N]CCO)cc1,4.517
CC1CCc2ccccc2N1C(=O)C(=O)O,5.300778
CC(=O)OCC12COC(C)C(C1)C(C)=CC2C,6.795
N#CCC(O)=NCC1CCCO1,7.037
[CH]1[CH]C2C=NCCC[CH][C]1CC2,2.988
CCN(C)C12CN3CN(CN(C3)C1)C2,7.002
CC1CC2CCC1(C)C2,9.614
CN(C)Cc1cccs1,5.706
C=CCNC(=N)O,6.332
CC1CC(CO)C1CO,9.059
ON1CCOCC1C1CCCC1,8.066
CC(C(=N)O)C1(O)CCCCC1,7.72
O=C(O)c1ncccc1Cc1ccccc1,4.74
COP(=O)(CNC(C)(C)C)OC(C)(C)C,7.679
CCCCCCCN(C)CCO,8.172
CCCCC(CC)OC(=O)C(CC)CC,7.581
CC1(C)C(=S)C2CCC1C2,3.943
Oc1ccc2c(n1)=CCOC=2,3.091
CCC1(O)CCC2(C)OC2C1,8.915
CCCN(CCO)c1ccc(N)c2nonc12,3.143
C=C(C)C(C(=C)C)=C1C=CC(C)(C)C=C1,4.34
COC(=O)C(=O)CCc1ccc2c(c1)OCO2,3.543
COC(CCC1CCCC1)OC,9.113
O=[N+]([O-])CCC[N][N]N1CCCCC1,4.58
OC1CCCNC1O,7.829
O=C1CCCN1CCCN1CCCC1,6.55
CCCCCC=C(C)C,7.1
CC(C)(C)C1=Cc2ccccc2C1,5.176
CCC(=O)c1cc(C)ccc1O,4.917
CN([N][O])c1nnnn1C,4.982
N=C(O)N1C(c2ccccc2)C1c1ccccc1,5.902
CCCC(C)N(C)CC(=O)c1cccn1C,4.114361
CCOP(=O)(CC(=O)OC)OCC,7.388
[CH2]c1ccccc1[N]C(C)=C(C)N,2.55
O=C1C(=O)c2ncccc2-c2[nH]ccc21,3.396
CCCCC(C)C(C)(CC)C(C)CC,9.562
OC1=Nc2cc3c(c4cccc1c24)CCCC3O,3.603
