SMILES,des_gap,pred_gap,Err_pred_des
CCCCC=CCCCC1CCCC1CO,6.2484,6.531884,0.0453690854331365
O=C1OC(CCCCOCO)C2OC2O1,6.857,7.178187,0.0468407311452727
CCCC1=CC=CC1(N)C(O)OCOC,5.3716,5.6330853,0.0486792111948939
CCC=C=CC=CSC,4.4524,4.2334876,0.049167279209284
CCCC=CCC=CCC(=CCCCCC(C)CCCC)CC,5.7361,6.0197706,0.0494535698912881
COCC1CCC(OO)CC(C=C=O)C(=O)O1,5.4401,5.7091866,0.0494635308091906
C=COC1=C(CS)N(C=O)C1,5.6068,5.3283086,0.0496702963712085
CNNCC1=CNC(=O)CN=CC1,4.6886,4.454086,0.0500179527206887
O=CCc1ccccccccccco1,4.0765,4.283382,0.0507498930293943
C=NC(CCNC)C1CCCCC=CN1,5.4603,5.1798058,0.0513697497179213
CSC(C=CCCO)N(O)CO,5.7361,6.0357895,0.0522462107958532
CC1=CNCC(OCCC(C)CN)C1,6.8533,6.485237,0.0537059341365428
CN(CCCCCCSC(N)CO)NN=O,5.7146,6.0261936,0.0545258843618826
C=CCC1=CCC(CC)C(C)CC1,5.6465,5.9622445,0.0559186240415541
C=C(CCNN)N=C1CC(OC)C(N)NN1,5.4269,5.7328544,0.0563773731416629
O=CC[C]Nc1ccc2cccccc1-2,2.6505,2.496972,0.0579241335425731
CC(C)CC#CC1=NCC=CC=C1,4.3253,4.072877,0.0583596674827605
CC(=C=CO)CCCCCCC=O,5.1781,4.8758235,0.0583759491372864
C=CCC1=C(SCCCC)CC1=O,5.7146,5.374718,0.0594760457005736
OCCCCCCC=NNNCC=C=NOO,4.486,4.7599907,0.0610768373024236
CC1=CN=CC=CC=C(N)C1(N)C#[SH],2.3066,2.4506965,0.0624713727361794
C=C1CCC2COC1=CC=C2CCC,5.0602,4.7422795,0.0628276491894524
C=CC1=CC=C(CC)C(C)=COC=CC=C1,2.8684,3.0492039,0.0630330053969684
C=C(CCC)C(CC)C(=S)S,3.782,4.0222416,0.0635223671092614
C=CCC(=CC1CC1COO)CC(C)C,6.4451,6.0348573,0.0636518792413141
CC(O)SCSS[O],4.4533,4.7377815,0.0638810600359741
OCCCNCCCCCP(OO)OCCS,6.4356,6.849353,0.0642912605831448
CCC1CC2CC=C1CCCCCC2O,5.6584,6.0257673,0.0649242411909692
C=C1C=CC=CC=c2ncccc2=C1,2.7923,2.6103327,0.0651675223177127
C#CC1C(C(N)CNO)=CC=CN=C1C(N)C=C,4.3875,4.096159,0.0664025113793181
CCCCOOC1(C)CC(CCOC)=[SH]1,6.3671,5.9173155,0.070641974667704
C=CC1CCCC(C)=C1CCC,5.7361,6.144839,0.0712572671269749
[CH]N=CN1C(=O)C1C,4.6822,4.346831,0.0716264053480948
CC(N)C(C=O)C1COCC1C,6.348,5.8922577,0.0717930544376674
O=C(C=CCCOO)C1CCC1=O,4.4576,4.13642,0.0720522763142035
CCC(CC)CC(O)CN=C(C)N,5.9095,6.3489475,0.074362894496051
CCSC(C)C1CCC=NCCC1C,5.6464,6.066708,0.0744382416975671
CCC(=O)CC=C(C)CC(O)CCCCN,5.0763,5.4582205,0.0752359950894468
COCC(NN=NNNCN=O)C(C)OCO,5.4269,5.01818,0.0753137346378867
NC1=CC=CC=CC=NN=C2C=C1C=N2,2.2105,2.3776267,0.0756058165509893
CCC1=CC=CC=CC=CC=C2C=CC=CN21,2.2,2.367871,0.07630502093922
CC1(C)CC2(CCCCC(=O)C2O)CSN1,5.9095,5.453819,0.0771099419468339
C=C1CC=CC=CC=CC=CC=CCC1,2.9883,3.2197678,0.0774580225928402
COCCC1CC=C(C)COCC(CO)C1O,6.4073,6.9047194,0.0776332234673213
CC(=N)CNC(C)COOCC=O,5.6068,6.0426903,0.0777431470891791
C=C(CC=S)[SH]1CCN(C)C1,3.7719,4.0664988,0.0781035436805566
CCCC=C1C=CC=C2C=CC=CSSNN=C1S2,2.8739,2.6443565,0.0798717807921227
CCCCCCCCSSC(C)OCCO,6.4065,5.8854094,0.0813378045479476
COC1=C2C=CC=C=C=CC=CN=C2C=C1,2.6442,2.427999,0.0817642312900678
O=[SH]C1=CC=CC=CC=CC=NC=CC=CC=C1,2.095,1.9214342,0.082847654392725
CCC12CCC(O)C(S1)C(C)C2,6.4076,6.940154,0.0831128777736685
COC1=c2ncccc2=CCN1CCCO,4.3927,4.027194,0.0832075891519283
CSc1cc1=[SH]CCCCO,4.7129,4.3127685,0.0849013432663396
CCC(=O)CNCC1C=CCCCCCN1,6.9694,6.3758245,0.0851688163333238
C=C(CO)CCC1C=C(C)CO1,6.4384,7.013412,0.0893097662072533
C=CCNCOOCC1CC1C(C)CC,6.3474,6.9184446,0.0899651248517324
O=C1CCC=CC=CC=CC=CC=CC=CN=CC=C2C=CC=C12,2.5902,2.3564532,0.0902427687772718
C=C1C(=NC)C(CS)CSCC1C,4.5178,4.9267473,0.0905191292404531
O=C1C=C2C=C1C1CCCC1C2,4.0031,4.367683,0.0910751502104302
CCCCCNCC=CCCNCC(N)S,5.0563,5.520609,0.0918277993745503
CN(C)CC1=C(CCN=N)SC=CN=N1,3.3693,3.678713,0.0918330464094061
C=NCC1CCCC1CCCCOO,6.6075,5.9871807,0.0938810881817832
O=C(O)n1ccc(=O)c2c1CC=CC2,4.4801,4.9019437,0.0941594347501769
CCCCC1CSCOSCN=C(CN)C1,5.624,6.156645,0.0947092498518835
CC(CCCCCCSS)C(=O)NOO,6.7387,6.092847,0.095842392386905
N=C1C=CC=CC1(S)SSS,2.7271,2.990769,0.0966847234990817
CC(C)NC1Sc2c(csc2N)N=C1CO,3.6056,3.9543393,0.0967215625203473
CC1=CC=CC1C=NOC=NN1CN1,4.4397,4.0095477,0.0968876927678219
C=CNCC(OO)=C(C)CNSC,4.2316,4.646054,0.0979425727966118
CSc1cc2c(s1)C=CC=CSC=CC=C2,2.7732,2.4972386,0.0995100836517937
S=C1C=CC=CSC=NC=CS1,2.4193,2.1776614,0.099879544118218
S=C1C=CC=CSC=NC=CS1,2.4193,2.1776614,0.099879544118218
CCC(OCOC)C1=C(C)c2ccncc21,4.5269,4.9815283,0.100428169865808
CC1CCCc2ccccc2CCC(C)CCC1,6.3056,6.9451942,0.101432733504308
CC(CO)OC(N)=C(O)NCC=O,5.6526,6.23356,0.102777498018015
CCCCCCC1CCC=CC(CONO)C1,6.4025,7.0610943,0.10286517517495
CC1[C]NCCCCNN[C]CC=NN(C)CCCC1,3.6723,4.050812,0.103072125800758
CON1C=NC=C2C=CC(=N)C=C2CC1,2.7472,2.4623866,0.103674065184996
CCOCCC=CNCCC=CC1C=CC=CC=C1,4.519,4.0461316,0.104640050703616
COC1OCCSCCOS1(C)PC,6.2276,6.8794513,0.104671346083857
C=C1C2CC=C(N)OC(OC)CC12,6.4384,5.761905,0.105071882248873
OCC1CCC=C2SC=CC=C2CCCCCC1,5.1726,4.628329,0.10522197730321
C=NCN=CSC(C)CCNCNN,5.4033,4.830998,0.105917135106662
CCC1=CCC(CO)C2CCCC12,6.4076,7.0896635,0.106446018096354
C=CCC1=CCC(OC)C=CC1,4.3875,4.856336,0.106857234596187
CCC(CC)CCCC1=CC=CCCN1,5.1605,4.6035795,0.107919868001318
CC(O)=C(CC=O)C(NO)OO,5.6244,5.0144773,0.108442277761147
